,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
691,Venom III,Male,Brown,Symbiote,Brown,229.0,Marvel Comics,,bad,334.0
692,Venompool,Male,-,Symbiote,-,226.0,Marvel Comics,,-,0.0
693,Vertigo II,Female,Blue,-,Silver,168.0,Marvel Comics,,good,52.0
694,Vibe,Male,Brown,Human,Black,178.0,DC Comics,,good,71.0
695,Vindicator,Female,Green,Human,Red,165.0,Marvel Comics,,good,54.0
696,Vindicator,Male,-,-,-,0.0,Marvel Comics,,good,0.0
697,Violator,Male,-,-,-,0.0,Image Comics,,bad,0.0
698,Violet Parr,Female,Violet,Human,Black,137.0,Dark Horse Comics,,good,41.0
699,Vision,Male,Gold,Android,No Hair,191.0,Marvel Comics,Red,good,135.0
700,Vision II,-,Red,-,No Hair,191.0,Marvel Comics,,good,135.0
701,Vixen,Female,Amber,Human,Black,175.0,DC Comics,,good,63.0
702,Vulcan,Male,Black,-,Black,0.0,Marvel Comics,,good,0.0
703,Vulture,Male,Brown,Human,No Hair,180.0,Marvel Comics,,bad,79.0
704,Walrus,Male,Blue,Human,Black,183.0,Marvel Comics,,bad,162.0
705,War Machine,Male,Brown,Human,Brown,185.0,Marvel Comics,,good,95.0
706,Warbird,Female,Blue,-,Blond,180.0,Marvel Comics,,good,54.0
707,Warlock,Male,Red,-,Blond,188.0,Marvel Comics,,good,108.0
708,Warp,Male,Brown,-,Black,173.0,DC Comics,,bad,67.0
709,Warpath,Male,Brown,Mutant,Black,218.0,Marvel Comics,,good,158.0
710,Wasp,Female,Blue,Human,Auburn,163.0,Marvel Comics,,good,50.0
711,Watcher,Male,-,-,-,0.0,Marvel Comics,,good,0.0
712,Weapon XI,Male,-,-,-,0.0,Marvel Comics,,bad,0.0
713,White Canary,Female,Brown,Human,Black,0.0,DC Comics,,bad,0.0
714,White Queen,Female,Blue,-,Blond,178.0,Marvel Comics,,good,65.0
715,Wildfire,Male,-,-,-,0.0,DC Comics,,good,0.0
716,Winter Soldier,Male,Brown,Human,Brown,175.0,Marvel Comics,,good,117.0
717,Wiz Kid,-,Brown,-,Black,140.0,Marvel Comics,,good,39.0
718,Wolfsbane,Female,Green,-,Auburn,366.0,Marvel Comics,,good,473.0
719,Wolverine,Male,Blue,Mutant,Black,160.0,Marvel Comics,,good,135.0
720,Wonder Girl,Female,Blue,Demi-God,Blond,165.0,DC Comics,,good,51.0
721,Wonder Man,Male,Red,-,Black,188.0,Marvel Comics,,good,171.0
722,Wonder Woman,Female,Blue,Amazon,Black,183.0,DC Comics,,good,74.0
723,Wondra,Female,-,-,-,0.0,Marvel Comics,,good,0.0
724,Wyatt Wingfoot,Male,Brown,-,Black,196.0,Marvel Comics,,good,117.0
725,X-23,Female,Green,Mutant / Clone,Black,155.0,Marvel Comics,,good,50.0
726,X-Man,Male,Blue,-,Brown,175.0,Marvel Comics,,good,61.0
727,Yellow Claw,Male,Blue,-,No Hair,188.0,Marvel Comics,,bad,95.0
728,Yellowjacket,Male,Blue,Human,Blond,183.0,Marvel Comics,,good,83.0
729,Yellowjacket II,Female,Blue,Human,Strawberry Blond,165.0,Marvel Comics,,good,52.0
730,Ymir,Male,White,Frost Giant,No Hair,304.8,Marvel Comics,White,good,0.0
731,Yoda,Male,Brown,Yoda's species,White,66.0,George Lucas,Green,good,17.0
732,Zatanna,Female,Blue,Human,Black,170.0,DC Comics,,good,57.0
733,Zoom,Male,Red,-,Brown,185.0,DC Comics,,bad,81.0
